time,x,z,mag,evid,tempid
2018-01-01T02:32:01.640000Z,0.23,0.662,2.20110561759,6721,SGC2018yyczk_69884
2018-01-01T04:31:59.190000Z,0.217,0.662,1.6655606834,6722,SGC2018yyczk_34942
2018-01-01 04:53:17,0.587504440633,1.04841888902,3.2,6724,SGC2018yyczk_55024
2018-01-01T05:15:24.810000Z,0.154,0.963,1.53579734383,6727,SGC2018yyczk_55024
2018-01-01T05:45:16.340000Z,0.296,0.288,1.4148046504,6728,SGC2018yyczk_34942
2018-01-01T06:29:36.110000Z,0.171,0.131,1.58277477083,6730,SGC2018yyczk_51041
2018-01-01T06:50:28.880000Z,0.103,0.618,1.58220592603,6731,SGC2018yyczk_55024
2018-01-01T07:25:08.840000Z,0.259,0.468,1.61264650749,6733,SGC2018yyczk_34942
2018-01-01T07:47:25.620000Z,0.323,0.582,1.60755096269,6734,SGC2018yyczk_34942
2018-01-01T08:17:37.160000Z,0.237,0.773,1.78350930693,6735,SGC2018yyczk_47863
2018-01-01T08:59:56.820000Z,0.256,0.771,1.49663032196,6736,SGC2018yyczk_34942
2018-01-01T09:45:31.020000Z,0.185,0.63,1.22619231355,6737,SGC2018yyczk_34942
2018-01-01T11:28:34.020000Z,0.236,0.694,1.74880515075,6738,SGC2018yyczk_45482
2018-01-01T12:20:57.140000Z,0.225,0.498,1.36029475954,6740,SGC2018yyczk_34942
2018-01-01T12:30:35.440000Z,0.033,0.624,1.34594192687,6741,SGC2018yyczk_34942
2018-01-01T12:43:47.660000Z,0.308,0.584,1.45029021557,6742,SGC2018yyczk_34942
2018-01-01T15:27:45.320000Z,0.141,0.646,2.57496372047,6743,SGC2018yyczk_34942
2018-01-01T17:35:15.850000Z,0.261,1.161,2.27939398255,6746,SGC2018yyczk_55024
2018-01-01T17:53:18.700000Z,0.262,0.541,1.80288376976,6748,SGC2018yyczk_46457
2018-01-01T19:48:49.740000Z,0.319,0.515,1.73247052145,6749,SGC2018yyczk_46457
2018-01-01T20:46:33.040000Z,0.092,1.134,1.81527467858,6750,SGC2018yyczk_55024
2018-01-01T22:16:05.020000Z,0.393,0.428,2.05569111672,6751,SGC2018yyczk_46457
2018-01-01T22:43:55.900000Z,0.152,0.682,1.55622383057,6754,SGC2018yyczk_34942
2018-01-01T23:21:23.380000Z,0.129,0.13,1.66999558837,6755,SGC2018yyczk_34942
2018-01-02T00:13:29.040000Z,0.279,0.144,1.63800533182,6756,SGC2018yyczk_34942
2018-01-02T00:56:01.360000Z,0.208,0.305,1.44983304027,6757,SGC2018yyczk_34942
2018-01-02T02:55:39.680000Z,0.258,0.395,1.60481948828,6760,SGC2018yyczk_34942
2018-01-02T03:05:14.880000Z,0.374,0.384,1.42317844748,6763,SGC2018yyczk_34942
2018-01-02T04:27:53.840000Z,0.215,0.637,1.24572014215,6764,SGC2018yyczk_34942
2018-01-02T05:02:31.290000Z,0.162,0.794,2.01059074222,6765,SGC2018yyczk_46457
2018-01-02T05:03:33.730000Z,0.326,0.7,1.72653469547,6768,SGC2018yyczk_56808
2018-01-02T06:25:19.800000Z,0.275,0.495,1.55472250843,6769,SGC2018yyczk_34942
2018-01-02T07:14:33.090000Z,0.103,1.08,1.51300947609,6770,SGC2018yyczk_55024
2018-01-02T07:37:25.050000Z,0.082,0.609,1.77565651228,6771,SGC2018yyczk_53066
2018-01-02T07:52:05.950000Z,0.355,0.261,1.42051329377,6773,SGC2018yyczk_34942
2018-01-02T09:27:55.780000Z,0.358,0.438,2.07772197301,6774,SGC2018yyczk_45482
2018-01-02T09:30:42.460000Z,0.249,0.458,1.90055260076,6777,SGC2018yyczk_46457
2018-01-02T10:48:32.370000Z,0.319,0.913,1.70996527399,6780,SGC2018yyczk_55024
2018-01-02T12:21:14.480000Z,0.163,0.715,1.88458668977,6781,SGC2018yyczk_46457
2018-01-02T13:28:05.310000Z,0.205,0.752,2.04511292074,6782,SGC2018yyczk_46457
2018-01-02T14:17:50.760000Z,0.095,0.907,1.90882848042,6783,SGC2018yyczk_55024
2018-01-02T15:07:44.770000Z,0.29,0.189,1.72832420368,6784,SGC2018yyczk_34942
2018-01-02T15:09:02.710000Z,0.195,0.675,2.50284783831,6785,SGC2018yyczk_39307
2018-01-02T15:13:21.200000Z,0.272,1.211,1.90747897731,6786,SGC2018yyczk_55024
2018-01-02T18:38:15.030000Z,0.199,1.086,2.25123904455,6787,SGC2018yyczk_55024
2018-01-02T21:36:02.120000Z,0.265,0.151,2.21904261241,6789,SGC2018yyczk_51041
2018-01-02T23:40:57.480000Z,0.177,0.695,1.89950239803,6790,SGC2018yyczk_46457
2018-01-03T00:51:48.450000Z,0.421,0.899,2.36542439294,6791,SGC2018yyczk_45482
2018-01-03T03:12:36.420000Z,0.102,1.166,1.85592275885,6792,SGC2018yyczk_55024
2018-01-03T03:31:47.540000Z,0.412,0.768,1.66204627245,6793,SGC2018yyczk_34942
2018-01-03T06:31:44.720000Z,0.133,0.557,1.98487138854,6794,SGC2018yyczk_46457
2018-01-03 08:05:15,0.216926536206,0.759531846384,3.69,6796,SGC2018yyczk_46457
2018-01-03T08:24:16.490000Z,0.264,0.061,1.99913325681,6799,SGC2018yyczk_51041
2018-01-03T08:28:54.240000Z,0.354,1.026,1.54251697455,6800,SGC2018yyczk_53066
2018-01-03T09:49:35.990000Z,0.4,0.448,1.59957497928,6801,SGC2018yyczk_34942
2018-01-03T16:17:47.920000Z,0.154,0.573,1.95637124365,6802,SGC2018yyczk_34942
2018-01-03T18:58:22.530000Z,0.304,0.48,3.70433721149,6804,SGC2018yyczk_51041
2018-01-03T19:37:57.570000Z,0.286,0.502,2.70930288094,6806,SGC2018yyczk_39307
2018-01-03T21:32:34.100000Z,0.083,0.609,1.80627093604,6807,SGC2018yyczk_34942
2018-01-03T22:26:05.130000Z,0.214,0.347,2.029538263,6808,SGC2018yyczk_34942
2018-01-03T22:35:02.950000Z,0.183,0.346,1.99333170622,6809,SGC2018yyczk_34942
2018-01-04T03:42:45.740000Z,0.15,0.293,1.99512949719,6810,SGC2018yyczk_45482
2018-01-04T04:10:20.740000Z,0.082,0.497,1.85725567508,6813,SGC2018yyczk_34942
2018-01-04T04:48:29.700000Z,0.31,0.524,1.66497931884,6816,SGC2018yyczk_34942
2018-01-04T05:05:01.670000Z,0.29,0.837,1.99945832808,6818,SGC2018yyczk_34942
2018-01-04T08:40:02.480000Z,0.319,1.158,1.56079078151,6821,SGC2018yyczk_56808
2018-01-04T09:00:28.450000Z,0.163,1.016,1.49632041734,6822,SGC2018yyczk_55024
2018-01-04 10:57:44,0.371084244481,0.655610127156,3.25,6823,SGC2018yyczk_47863
2018-01-04T12:11:53.300000Z,0.365,0.339,1.90898866224,6824,SGC2018yyczk_46457
2018-01-04T13:30:33.240000Z,0.216,0.84,1.87980552793,6825,SGC2018yyczk_55024
2018-01-04T14:04:26.030000Z,0.355,0.909,2.0197303465,6826,SGC2018yyczk_55024
